LevelOfTrust;ScanTimeInSeconds;TotalBasketValue;ScannedProducts;CountOfVoidedScans;ActivateWithoutScan;ModifiedQuantities
5;1261;39.56;28;5;7;2
4;1192;41.96;3;0;2;4
1;1826;15.1;5;8;9;0
1;378;92.54;1;9;1;2
3;1617;56.23;14;8;0;0
4;757;94.85;20;11;8;3
4;270;2.8;17;7;2;3
2;1350;46.39;11;5;3;3
4;622;81.51;14;6;7;1
3;824;30.34;6;0;4;5
1;466;36.75;29;10;1;2
1;1560;85.5;11;11;10;3
3;293;28.37;3;2;3;1
1;606;14.15;26;7;0;3
3;1081;36.19;14;8;2;3
1;914;68.28;30;2;2;1
3;1326;74.01;2;10;8;1
5;1103;24.09;3;9;0;5
5;787;54.49;7;7;0;0
6;798;64.71;30;4;8;5
5;856;75.39;9;0;6;1
4;1742;87.44;23;6;8;4
4;1116;70.32;2;0;2;4
5;487;48.67;29;7;9;0
5;1096;37.43;17;5;9;1
6;719;27.37;8;8;2;4
4;1090;97.32;23;9;6;2
5;1103;12.94;20;7;10;2
1;236;8.8;8;4;2;3
1;915;97.69;1;6;0;2
6;593;52.64;7;2;3;2
2;67;11.28;24;3;9;1
4;364;55.11;24;5;10;5
6;1580;25.22;2;0;6;2
2;301;31.81;14;8;2;3
2;93;48.52;3;0;2;2
2;406;16.76;8;0;1;1
1;1593;53.07;19;6;2;1
3;323;20.2;5;1;8;5
3;79;88.23;21;1;1;3
2;562;10.89;12;1;2;4
3;874;38.04;7;1;1;3
3;326;71.04;11;1;6;3
6;1274;91.03;7;3;9;0
3;1228;67.58;16;11;3;3
3;957;39.46;19;7;5;4
6;722;74.34;27;6;10;1
2;1052;97.06;15;11;6;1
3;386;93.52;23;5;4;1
2;1346;68.36;7;7;10;1
5;318;37.25;14;11;10;5
2;557;65.92;1;7;7;0
3;1224;70.81;7;3;7;3
1;1403;60.52;1;0;1;1
4;964;63.9;11;5;10;0
1;1169;1.38;1;1;7;3
5;1115;24.28;9;2;2;5
5;1498;94.83;14;11;0;5
3;1835;94.63;22;3;5;3
6;1163;51.54;16;4;7;5
3;153;9.19;14;1;7;2
6;1779;5.61;12;0;7;1
5;1659;95.11;22;6;9;5
3;675;13.85;28;4;0;3
6;745;16.14;11;1;0;4
2;424;61.45;22;8;10;4
3;277;44.98;21;7;9;2
6;1052;76.23;10;2;7;0
2;1497;84.93;23;2;9;3
2;1857;65.88;8;7;9;3
3;465;73;20;3;9;5
4;1310;88.24;19;0;6;1
4;1100;93.03;25;5;7;2
6;183;96.06;9;8;9;4
5;41;50.47;4;2;6;4
3;188;40.96;4;1;1;2
1;1284;0.38;13;0;1;4
5;642;84.12;7;8;3;3
3;926;62.68;23;8;9;3
6;93;22.29;10;1;3;1
3;1654;90.29;22;1;7;2
4;753;66.73;13;1;2;0
4;187;85.07;25;0;0;0
5;102;2.16;8;10;10;4
3;1787;82.13;8;0;0;2
1;1735;33.65;23;9;3;4
5;1640;12.17;24;0;10;4
1;407;39.84;15;7;4;5
3;989;19.45;16;3;3;1
5;1034;8.67;21;7;10;4
4;1280;91.84;24;10;9;3
4;722;17.3;1;2;7;3
5;1812;31.99;13;5;8;4
5;593;68.47;20;3;0;3
6;586;5.55;22;9;4;0
4;1786;23.82;16;1;5;5
2;599;0.55;22;6;6;0
3;1329;29.07;15;1;1;3
4;689;34.13;24;0;9;5
4;742;78.88;23;11;3;1
3;174;75.76;20;3;9;1
3;926;1.59;29;4;7;4
2;653;25.92;4;5;2;5
3;1812;32.88;18;3;5;4
2;143;45.74;10;8;6;1
3;1300;91.22;3;5;2;0
4;1173;30.96;1;8;4;3
4;613;94.99;2;9;5;0
3;331;46.53;26;5;8;1
1;1494;13.38;15;4;7;1
2;923;10.65;13;8;9;1
2;1510;89.82;10;0;1;1
1;43;34.9;6;2;10;5
1;307;26.99;29;11;2;5
2;1107;84.15;18;5;8;3
3;1592;50.27;24;2;0;0
3;1208;20.12;29;11;2;1
4;1082;24.81;13;6;0;2
6;776;49.65;22;10;4;4
6;1617;82.75;29;0;10;5
6;454;81.46;22;11;0;1
2;157;47.97;3;1;10;4
5;607;97.21;17;10;7;0
5;573;43.16;29;2;2;0
4;308;48.49;13;0;1;5
3;1095;84.15;30;1;6;4
1;494;12.54;17;10;10;0
4;698;50.67;25;4;6;4
1;1830;93.42;30;2;7;4
6;958;20.82;4;3;10;3
2;1636;71.89;15;5;0;4
5;1516;38.17;10;6;0;4
4;138;9.08;3;6;1;3
4;1310;31.17;26;10;10;0
5;1072;20.43;23;1;5;2
2;1331;11.88;14;7;1;0
5;1646;13.47;8;1;10;3
4;761;11.98;19;7;5;2
4;601;62.43;23;3;3;4
3;643;54.73;25;10;8;4
2;1183;8.44;23;8;9;3
1;19;11.68;10;9;6;3
4;1088;44.19;5;10;10;0
1;433;81.79;18;6;2;1
4;1851;4.52;13;4;7;0
6;1171;79.57;8;7;0;4
3;1524;74.32;11;4;8;3
1;641;23.52;20;7;1;2
6;460;35.92;15;0;8;2
3;1130;64.81;10;11;8;1
1;639;4.75;17;9;6;2
4;1086;82.57;22;2;1;0
1;969;68.87;3;0;7;0
3;564;26.72;6;3;10;5
1;1554;89.8;1;1;2;2
3;1595;40.13;27;4;2;4
1;185;85.79;11;4;9;0
4;566;6.64;15;4;0;0
2;388;12.06;27;7;4;1
4;669;76.95;24;8;9;2
6;588;55.09;15;4;9;0
6;1730;95.57;20;11;3;3
2;1480;55.37;18;6;6;3
2;151;50.87;13;0;6;4
1;1332;101.41;17;1;9;5
1;1744;62.56;17;7;7;3
2;1369;48.75;20;8;5;0
4;1334;70.14;19;3;7;3
6;236;28.26;16;9;4;5
6;1324;28.76;5;5;3;0
5;743;72.61;18;7;9;2
2;1165;9.46;23;11;5;3
1;1588;61.79;24;7;4;5
1;1213;42.75;22;1;2;4
4;21;39.51;30;2;7;4
2;1626;15.51;1;3;9;2
5;998;25.12;8;4;10;0
3;203;82.54;26;4;2;4
2;1294;62.74;22;2;0;3
3;1506;69.97;15;11;0;3
3;1340;6.14;29;2;10;5
1;431;97.59;9;8;3;4
4;1234;6.32;29;0;5;3
5;243;0.35;23;10;8;2
4;627;88.5;13;3;6;5
5;146;74.55;29;7;10;1
5;1318;16.36;18;6;7;2
6;654;76.42;18;2;9;2
4;142;97.04;16;3;7;1
1;1138;13.74;11;10;6;3
1;745;37.53;6;4;4;3
6;999;35.86;17;11;5;4
4;347;41.06;28;3;5;2
1;1627;9.35;11;3;10;1
2;1518;88.21;24;8;10;1
1;1219;5.21;3;2;3;0
6;379;50.11;7;4;2;0
5;656;52.04;14;4;1;0
2;1504;11.14;17;7;7;0
5;1732;22.51;7;1;2;5
6;332;52.14;11;9;10;4
2;1485;59.42;14;1;6;0
3;1483;49.31;11;10;5;1
4;96;57.07;29;10;9;5
5;1491;92.04;27;11;7;5
4;116;37.41;29;0;1;1
1;1271;60.11;5;5;2;4
1;739;31.25;9;3;9;3
4;68;16.93;27;11;2;3
1;500;17.55;26;0;6;3
3;888;92.66;29;7;2;2
3;662;13.78;19;7;5;4
6;722;36.52;13;4;2;3
5;51;92.13;17;10;10;1
4;1780;23.75;30;1;10;0
2;25;56.59;18;8;7;3
4;380;61.59;13;4;9;2
2;637;75.75;6;8;7;5
5;1222;10.58;1;1;0;3
5;1364;63.22;17;6;2;2
3;775;71.73;16;6;10;5
5;1599;52.51;2;4;6;1
3;1341;59.93;12;6;0;4
1;915;64.38;14;5;2;3
3;1728;6.58;25;10;0;1
3;1145;27.83;2;11;1;2
1;215;94.59;7;8;8;5
2;1784;52.68;11;0;8;1
6;705;50.51;29;11;9;0
1;1540;2.07;26;4;6;2
4;357;62.37;25;0;4;1
4;658;33.54;8;9;0;5
1;1120;53.19;17;3;10;3
2;1537;48.2;17;4;2;3
5;980;60.61;24;0;1;0
3;5;93.26;9;1;10;3
2;1522;84.89;26;6;9;1
1;1021;9.3;7;9;0;2
3;1658;71.32;10;8;2;1
3;997;104.07;5;3;1;1
2;1650;25.01;16;0;4;1
3;650;65.6;4;9;6;5
6;190;15.05;21;9;7;2
3;1729;3.42;18;9;6;3
4;534;65.61;27;4;3;5
1;1249;53.86;21;7;9;2
5;1723;92.3;7;8;9;1
3;1297;59.86;18;4;6;3
3;283;83.96;3;8;3;5
1;1707;92.38;14;6;6;5
6;1099;43.62;7;11;6;4
6;1347;38.34;16;11;8;2
2;1697;35.65;18;0;3;1
2;1022;63.9;29;0;3;0
4;798;66.13;30;10;4;4
3;376;24.62;20;8;2;3
1;81;29.43;21;0;7;1
3;469;95.55;23;10;0;1
5;849;91.53;20;6;5;3
3;1095;56.91;17;3;1;1
5;295;93.32;17;11;9;2
2;1586;16.38;26;10;6;3
2;1578;42.19;2;3;3;4
5;835;56.49;2;6;1;5
1;1766;29.98;12;3;9;3
1;556;40.64;29;7;2;5
3;110;76.72;11;6;2;2
3;543;51.49;20;1;9;3
2;396;96.61;26;9;4;0
3;906;59.27;21;9;2;2
5;1213;77.69;21;11;10;4
5;304;32.52;1;10;4;0
1;1547;56.39;20;6;1;3
6;167;31.62;2;5;10;3
2;537;54.75;5;5;9;5
5;396;84.75;30;10;0;5
4;1730;85.21;3;9;4;2
5;164;24.49;21;6;6;5
3;318;24.61;10;4;6;4
6;275;74.8;16;11;10;0
5;1257;76.09;3;0;7;2
4;100;35.06;1;8;9;0
3;620;40.36;25;5;0;0
1;1438;4.52;5;0;7;2
5;430;78.99;29;9;6;4
4;971;1.24;6;9;4;2
2;923;63.28;14;2;0;3
5;1381;67.41;30;7;9;0
5;1358;38.21;27;2;3;2
5;758;73.68;3;10;5;5
5;156;24.61;9;1;9;5
3;981;70.4;16;9;3;2
1;84;86.44;12;11;3;5
3;1227;40.82;29;3;2;3
4;1848;94.25;20;11;7;1
3;31;90.59;9;10;6;3
3;839;31.24;18;1;9;5
6;1676;6.61;12;2;8;1
5;1581;0.99;14;11;0;2
1;41;43.66;5;0;5;3
1;132;69.73;22;10;4;2
4;725;3.76;2;11;8;1
6;1488;29.21;11;5;9;4
6;1744;4.27;10;2;6;1
4;992;57.27;27;9;10;3
4;794;86.02;9;3;8;0
1;379;37.58;26;10;10;5
6;591;92.81;27;10;1;0
1;917;96.33;9;3;4;2
1;1428;17.37;28;10;4;3
1;314;48.06;3;10;0;5
5;1454;11.65;11;3;9;5
4;523;98.33;30;0;9;0
3;1207;60.26;30;1;7;4
1;1670;43.94;14;9;6;4
5;607;87.25;2;9;4;0
3;1821;9.5;21;1;4;3
6;564;8.26;21;9;3;0
3;226;52.63;24;1;8;5
2;13;80.24;4;4;1;1
6;1865;65.65;2;5;6;3
2;341;46.03;11;4;3;4
1;1262;48.8;27;6;1;0
5;1057;5.46;28;10;9;0
4;1361;15.68;3;6;6;4
2;826;43.31;9;10;0;4
4;1292;72.28;22;7;2;3
5;80;26.89;9;9;6;2
6;1227;49.69;30;11;6;4
5;820;50.23;23;8;1;5
2;616;38.41;10;10;4;0
4;1379;38.47;15;4;7;0
2;36;7.41;10;9;9;5
3;1383;86.52;5;0;3;2
2;369;56.94;16;8;1;2
2;1672;40.29;2;4;4;2
1;1477;82.49;29;9;9;1
1;1501;67.6;9;10;1;2
5;1138;47.54;23;4;9;4
6;969;6.35;13;3;7;2
2;1028;69.23;8;9;4;3
4;1664;13.17;8;8;0;4
4;692;59.62;2;3;9;5
3;657;42.59;4;6;3;3
6;1280;44.69;25;2;3;3
1;37;34.24;9;8;10;1
2;385;13.67;22;1;7;5
5;282;2.32;10;3;10;0
3;1708;39.34;2;2;6;5
1;1538;18.8;10;3;7;4
4;1840;31.04;13;3;8;1
3;543;75.36;12;10;5;5
3;41;80.39;12;7;10;5
5;839;14.53;3;1;10;3
2;110;78.06;14;0;6;2
1;1242;43.31;16;0;9;0
5;713;88.92;3;10;0;2
5;90;53.12;10;9;9;4
6;277;59.92;2;3;6;4
3;137;22.46;15;8;2;1
1;1577;26.6;29;5;5;5
6;938;0.07;24;4;6;3
5;1463;84.98;20;2;7;2
1;1364;36.39;11;6;4;3
4;1189;52.87;15;11;9;3
6;577;54.57;17;5;1;1
5;1700;3.16;22;10;6;2
2;1132;43.49;21;9;5;4
5;877;24.37;18;5;10;3
6;859;26.28;17;8;7;1
4;229;51.58;4;8;4;5
3;1290;17.16;28;7;3;0
4;359;47.68;6;2;7;1
2;1134;63.02;21;0;9;5
5;342;34.49;23;9;2;2
6;443;82.82;10;11;8;2
6;843;58.63;6;0;9;3
4;877;70.75;29;1;4;4
2;1175;36.7;22;1;2;2
1;405;25.16;4;10;7;1
5;1782;56.74;21;3;2;4
1;192;21.59;30;10;8;0
6;475;17.42;11;1;2;5
2;1646;73.38;5;2;0;4
5;1635;13.12;8;3;2;1
3;841;35.34;22;8;1;1
3;1616;20.27;5;2;3;3
4;218;3.85;28;0;3;0
6;708;87.74;26;10;7;0
1;844;31.65;13;8;4;4
6;916;36.18;29;8;7;4
3;1305;34.9;8;2;2;4
6;1335;33.18;1;11;3;1
3;1636;84.46;3;11;8;0
2;1678;51.61;15;2;4;4
6;697;8.44;26;7;9;3
6;1354;9.17;29;6;1;1
1;1821;77.57;25;3;8;2
1;1522;95.78;5;7;10;4
2;1678;16.76;2;7;0;3
4;451;75.95;25;5;3;0
2;1090;66.06;5;1;3;3
2;175;29.25;13;0;7;2
6;923;36.68;18;6;10;4
1;164;39;23;2;8;4
5;76;53.04;4;2;2;2
4;714;78.83;7;9;10;3
4;487;40.52;15;4;1;3
3;1169;19.29;18;11;5;2
2;358;23.41;26;4;3;5
4;1429;62.75;14;2;6;4
4;125;85.53;30;6;6;2
2;9;18.96;1;0;4;5
4;855;49.87;12;11;6;3
5;815;5.76;7;3;9;3
4;1310;12.9;15;10;3;5
3;1750;74.6;20;10;6;5
6;342;43.47;14;8;1;1
3;1670;41.63;1;5;2;5
4;1257;14.9;13;2;8;1
2;1588;63.74;29;5;9;1
6;472;13.82;6;7;7;5
6;266;5.99;28;4;8;2
3;1819;3.87;15;7;6;3
6;1190;35.85;19;8;4;4
6;936;33.47;9;0;4;4
5;832;41.36;19;6;2;2
1;1521;80.02;22;5;8;3
2;1457;19.05;7;9;9;1
2;532;97.47;21;1;9;0
6;812;35.02;1;2;10;1
5;988;8.08;16;5;9;3
4;242;43.08;30;0;10;5
2;566;11.73;24;1;1;3
1;952;44.99;22;7;10;4
1;140;2.62;1;9;3;3
1;1393;60.67;4;8;6;4
3;369;89.38;5;8;8;1
5;1488;52.25;24;11;7;0
2;336;54.43;11;6;7;1
6;333;82.5;16;5;7;3
5;127;40.15;25;11;4;5
1;203;98.04;19;4;9;0
1;841;93.2;17;5;8;2
1;536;94.39;18;2;6;5
6;941;43.17;29;7;9;2
5;1796;44.52;12;4;1;2
5;1559;86.74;28;10;7;1
1;608;81.9;7;5;4;0
6;1092;15.66;20;6;1;2
6;200;82.5;18;6;4;4
6;796;94.91;23;4;10;2
4;1677;24.74;29;0;8;4
6;375;99.52;10;1;2;1
1;1564;19.33;1;5;1;3
6;703;70.95;29;10;10;3
1;1515;59.63;25;10;0;2
4;317;90.36;6;9;3;0
6;550;69;11;8;3;1
6;300;68.92;14;11;4;2
3;1418;24.12;2;0;8;2
2;1346;89.79;6;5;7;5
6;36;33.57;25;6;10;3
1;140;52.13;8;1;0;4
1;1817;99.39;12;10;1;0
5;1409;10.53;4;1;7;3
2;589;62.95;23;7;8;0
5;1361;51.35;24;9;1;3
5;970;44.59;14;10;2;5
2;379;19.54;10;7;10;3
4;985;73.12;2;4;3;3
6;846;18.39;15;0;2;3
4;920;69.57;24;3;7;1
1;773;41.22;7;11;5;0
3;731;43.57;1;2;0;1
1;119;68.03;29;11;3;3
6;107;84.61;24;9;9;4
3;1788;26.1;27;5;6;0
4;488;34.62;24;9;2;3
4;1565;61.11;8;8;7;3
1;757;71.62;28;2;2;4
1;19;56.48;8;2;7;3
2;1087;87.16;12;3;10;1
4;1767;91.51;26;4;1;0
1;852;73.55;20;5;2;4
5;736;36.53;4;6;0;0
6;574;58.43;17;10;1;0
2;1763;22.3;12;1;1;1
2;1394;16.71;12;1;7;1
4;501;73.64;11;6;9;4
5;1763;88.65;18;6;10;3
4;284;27.32;9;0;1;5
3;1679;23.85;11;2;10;5
3;278;82.36;4;8;9;5
4;1327;14.24;30;11;0;5
6;116;52.98;28;9;10;3
5;819;17.87;9;0;8;1
3;1244;40.4;30;4;8;3
2;98;9.29;7;7;4;5
2;1341;9.05;11;6;7;0
6;1134;64.92;14;0;5;1
5;760;75.45;7;0;3;2
4;575;64.69;5;9;4;5
5;987;3.11;4;9;3;1
1;484;34.56;16;7;8;3
1;1326;62.3;5;0;7;0
6;390;79.36;1;10;3;3
4;230;34.45;12;7;2;2
6;107;60.49;14;6;1;0
2;479;100.89;16;6;2;1
6;1784;28.07;18;4;9;3
3;608;21.29;6;5;2;4
6;45;68.27;28;3;4;0
5;1123;66.72;24;3;4;4
3;427;102.47;19;2;5;5
3;1193;55.07;17;4;7;3
4;376;69.76;6;11;5;1
4;824;70.82;30;7;0;0
6;1641;0.4;7;1;1;5
4;118;48.79;21;7;5;1
4;399;11.01;4;11;5;1
1;596;97.71;23;4;7;5
5;1714;29.59;5;3;10;5
4;300;18.72;8;0;0;1
2;760;21.26;17;8;7;3
2;257;50.91;14;0;6;0
2;323;32.45;20;1;9;0
1;1392;31.61;23;11;8;3
5;145;96.14;11;2;4;1
3;1421;47.55;11;8;8;3
5;1092;58.17;9;6;9;2
2;1439;67.77;25;9;2;5
4;794;95.11;7;9;8;0
4;1679;33.26;5;11;6;2
5;1236;65.79;24;1;1;2
3;324;75.63;4;0;5;3
6;1744;78.27;16;11;3;2
4;1022;55.52;4;11;6;3
5;1723;76.69;9;2;7;2
3;1292;56.06;16;6;3;5
3;1354;85.94;14;7;0;1
4;913;48.99;3;0;9;1
5;1504;1.59;6;7;8;5
3;1409;99.41;14;10;1;0
4;556;31.75;13;3;8;4
2;967;15.19;14;10;3;1
1;59;8.04;20;8;9;2
6;5;99.65;29;2;6;1
4;1775;88.77;9;8;4;2
1;772;34.88;15;11;6;2
3;575;39.63;14;7;8;4
4;1400;53.66;9;7;5;1
3;410;62.78;3;6;0;3
2;872;97.79;14;10;10;0
5;384;67.86;25;7;0;3
4;504;60.13;7;0;5;4
5;1077;71.82;13;1;4;3
5;375;80.11;9;10;10;1
2;759;4.26;3;10;1;3
6;1357;51.5;23;2;0;3
3;586;12.78;11;5;1;2
6;907;17.15;22;7;6;2
4;1204;47.35;10;3;8;5
4;1399;12.75;5;4;10;1
2;881;42.38;28;4;1;1
5;60;24.22;14;4;3;2
2;1825;17.2;18;5;1;5
6;619;43.89;6;2;5;3
2;605;15.26;27;2;0;2
3;714;84.99;26;5;6;5
1;286;13.92;7;2;9;1
2;397;20.91;6;6;4;1
2;1336;5.15;8;0;7;1
2;944;103.25;17;4;6;4
4;770;61.21;19;10;10;3
1;1238;40.73;12;6;3;5
3;164;55.39;16;9;8;1
2;1324;78.21;3;8;2;0
6;389;48.51;21;1;2;4
3;1433;14.7;2;1;10;4
4;51;31.64;26;3;4;1
4;1568;94.63;6;0;3;5
6;242;90.85;22;7;7;4
1;1024;88.32;15;8;9;5
1;923;91.21;16;5;0;1
2;215;42.14;12;10;8;1
2;880;11.18;10;2;9;1
2;720;58.1;17;10;1;2
6;481;43.46;8;1;10;0
5;1145;89;30;9;1;3
2;1373;69.09;19;9;7;3
2;1456;78.47;29;8;7;0
3;38;11.12;5;11;3;0
1;1720;72.56;2;8;0;2
1;703;7.51;27;6;4;0
6;1531;40.03;25;5;6;0
4;287;44.36;22;2;5;0
1;1068;24.17;6;2;2;1
6;139;69.34;8;10;4;5
6;131;56.82;21;9;10;5
5;779;62.84;30;11;10;0
3;791;18.74;30;3;2;5
2;859;53.24;23;4;0;4
4;937;36.78;10;6;8;1
1;169;93.74;28;1;3;0
1;1641;85.82;17;9;9;5
4;862;27.16;26;6;0;4
4;263;9.3;3;1;3;1
3;1667;28.6;29;9;4;5
2;295;65.98;18;6;7;4
2;1704;77.39;6;8;3;5
4;553;34.03;6;11;1;1
6;1471;15.05;28;6;5;1
4;797;32.82;24;0;1;2
5;1615;72.93;7;7;8;4
3;1065;11.66;3;2;5;2
3;1520;81.98;10;3;9;1
1;254;35.58;13;8;0;5
1;958;40.68;26;2;1;5
6;84;78.98;16;11;2;0
3;1207;78.57;19;2;5;5
5;766;18.47;17;2;5;0
4;850;96.04;10;8;3;2
1;347;10.28;30;7;3;2
6;523;45.07;5;8;7;5
5;538;93.68;1;10;0;4
4;286;40.32;28;4;7;2
4;1563;25;10;0;8;1
1;1322;12.21;18;2;9;2
1;1887;54.99;9;11;6;2
5;963;12.31;15;4;7;1
5;874;2.09;25;5;7;2
6;1751;35.02;11;6;0;3
5;594;30.85;4;4;6;2
6;1627;55.61;15;3;3;5
3;1488;57.03;19;8;6;0
2;91;85.78;25;9;7;0
4;504;27.68;15;0;9;4
1;1258;11.17;15;6;9;3
3;813;20.91;2;10;1;4
3;1151;34.23;9;6;0;4
3;255;46.1;15;0;5;3
3;1356;72.63;26;10;4;1
5;299;49.51;28;1;0;0
1;1574;37.96;14;10;2;0
5;86;57.8;12;8;10;2
3;526;71.3;15;1;0;4
6;1055;101.93;13;0;9;5
3;1586;53.62;16;9;5;5
3;1537;56.75;28;1;9;0
1;1485;91.62;10;9;7;4
4;811;34.34;21;10;5;1
3;1754;88.89;26;10;6;3
6;805;56.21;17;8;3;5
5;1744;85.75;23;4;6;2
6;602;55.42;27;5;8;2
4;1269;94.52;27;10;3;4
5;314;90.07;11;10;8;3
6;845;46.37;2;6;1;3
2;500;58.22;23;3;10;3
3;1166;54.62;12;4;7;0
3;542;19.61;15;10;4;2
1;1584;17.19;30;6;1;0
5;128;14.75;4;10;1;5
5;1844;28.81;17;3;8;2
6;210;33.68;24;0;10;3
3;1367;55.33;25;9;0;5
5;56;15.57;25;1;2;4
2;508;49.23;20;9;9;4
1;1195;46.64;14;9;9;3
3;746;69.01;26;7;1;4
6;1351;23.57;7;9;3;4
1;564;27.73;9;11;3;4
1;1376;74.37;27;2;1;1
1;766;15.06;4;6;2;1
1;368;30.1;16;0;1;5
3;469;19.27;14;8;8;0
3;1568;13.29;30;9;8;3
6;1137;16.16;22;7;2;2
5;1547;79.93;1;7;9;0
6;530;4.9;29;1;5;5
1;1590;70.21;14;10;5;3
6;791;87.99;25;0;4;3
5;1332;95.24;2;11;7;1
4;996;20.03;24;4;10;5
3;1833;70.19;20;0;5;1
4;1328;95.5;8;3;10;5
4;342;89.46;8;2;6;5
4;691;80.76;13;2;1;2
4;1859;9.57;6;10;3;1
3;1874;68.71;28;4;1;1
6;1500;21.53;20;10;6;2
1;762;55.68;24;9;5;5
3;758;61.22;16;9;3;5
1;1016;96.3;26;8;4;3
5;1850;27.63;12;8;7;4
3;1309;72.65;3;1;0;4
3;915;9.9;11;7;1;1
4;1666;52;30;8;5;3
2;1233;7.78;25;11;9;5
6;1315;9.57;20;4;1;3
5;1780;36.59;7;5;0;3
6;838;35.11;2;6;3;3
5;1126;64.95;30;7;0;4
6;767;61.28;14;4;7;3
5;57;11.55;13;11;2;2
5;1570;9.42;14;6;9;4
1;795;21.76;6;3;0;1
4;573;17.23;15;4;8;2
6;1067;49.65;1;1;10;4
1;654;41.44;5;10;10;3
2;1494;93.55;26;2;1;2
3;321;31.99;6;9;8;1
1;113;1.25;2;7;1;5
5;1;31.52;30;2;6;5
2;396;45.84;26;8;8;0
3;1701;73.83;16;4;7;0
4;186;24.48;20;2;8;4
6;1585;32.78;20;8;2;4
1;1791;82.93;16;9;2;0
3;1726;17.53;18;9;4;1
5;1279;14.34;1;8;4;0
5;1462;87.3;24;10;6;0
2;468;52.99;16;5;9;1
1;916;18.53;8;6;4;5
1;1686;18.42;7;10;4;5
2;381;78.91;7;4;7;5
2;1876;24.13;26;6;4;4
3;451;38.07;19;11;2;2
3;260;80.47;14;2;8;3
2;1750;67.45;10;0;6;0
3;462;14.47;16;7;0;0
4;512;62.67;27;3;3;0
1;1392;32.83;13;8;6;2
2;14;35.69;22;4;7;0
4;1393;93.78;30;8;6;1
5;1480;24.74;2;6;8;5
5;954;75.31;30;11;8;4
2;591;93.26;19;1;8;0
2;577;54.14;22;1;6;2
3;318;29.78;24;1;0;1
2;1653;63.28;16;9;1;0
1;1048;77.69;10;4;6;3
1;1779;51.08;14;2;9;3
1;312;44.58;29;3;5;3
2;480;28.46;2;10;7;5
2;1312;88.72;27;4;5;3
4;1669;97.98;26;10;4;5
2;994;47.98;5;3;3;5
2;1220;75.92;2;6;0;0
3;898;30.49;19;3;10;5
5;1648;28.21;22;8;1;5
2;685;45.64;22;9;2;1
5;440;95.16;9;8;1;4
3;484;33.53;10;4;3;2
2;179;80.08;3;8;7;2
4;1302;17.5;21;10;6;0
2;800;6.9;20;0;8;1
1;201;50.08;30;2;7;5
4;1475;62.73;14;2;10;0
1;94;49.86;12;7;8;5
6;823;53.87;12;11;9;5
6;1248;46.83;13;10;5;4
2;164;70.98;22;4;7;3
4;390;40.74;19;10;5;4
4;215;100.16;30;2;9;3
2;1153;17.91;25;9;1;1
4;370;33.49;1;2;6;3
4;882;81.49;15;3;4;2
2;756;64.36;26;10;3;4
5;1639;78.23;23;8;6;4
1;261;91.62;30;0;7;0
2;1672;72.59;29;8;4;3
6;174;70.82;23;1;6;1
3;14;49.58;11;11;7;0
3;1370;16.52;22;2;5;2
1;1340;60.74;13;3;9;4
4;1412;70.06;10;0;8;5
2;720;70.24;13;3;8;4
3;1043;41.14;23;8;3;0
2;1589;23.51;9;3;3;1
5;546;20.22;12;10;0;1
4;444;55.95;30;4;4;5
4;43;55.07;12;2;4;3
3;883;5.82;5;4;2;2
5;246;14.89;5;4;9;5
1;893;80.78;10;8;4;4
5;1655;18.84;16;1;2;1
2;318;96.02;9;6;1;3
4;1122;83;27;1;2;5
4;1658;3.5;22;4;10;4
5;150;59.57;24;0;9;0
5;991;23.78;20;4;2;5
4;663;25.3;9;8;6;0
3;579;19;21;3;6;4
2;931;40.97;18;1;4;1
5;508;89.97;7;7;2;5
2;761;72.67;15;1;5;2
3;871;73.85;2;9;4;0
1;1853;66.27;7;5;6;4
1;1444;46.35;26;4;9;0
2;516;63.76;9;9;0;3
3;94;29.56;28;5;5;0
6;1691;16.88;15;7;7;3
6;979;49.83;5;11;6;2
6;1070;94.41;28;10;6;5
6;662;88.02;4;7;7;1
1;1176;83.05;13;5;2;2
5;1246;54.6;13;5;2;1
4;715;68.41;7;11;1;5
1;1251;8.51;1;8;3;2
2;1540;49.8;28;7;5;2
1;1536;34.32;25;9;10;4
4;156;55.17;9;7;6;3
4;1012;78.39;16;4;3;4
2;1145;49.93;12;6;6;5
1;614;13.64;19;3;5;5
5;382;61.64;11;4;9;5
1;1716;31.07;16;6;5;5
5;120;26.47;5;9;3;3
1;347;92.17;13;0;0;2
4;1497;8.56;26;2;3;3
4;1723;70.33;15;0;6;4
2;1316;10.48;26;1;2;3
1;600;25.08;14;2;8;1
1;273;7.21;10;7;1;2
3;805;66.19;20;8;7;1
2;815;46.55;7;11;0;3
1;1513;28.17;6;1;2;3
4;790;16.54;1;9;5;2
3;563;37.42;21;11;9;3
5;1403;50.24;22;8;2;5
6;1591;4.37;19;4;8;0
5;639;10.35;14;5;8;3
3;1567;70.69;6;8;5;0
6;540;11.81;27;0;1;0
2;755;85.85;2;5;9;4
3;1673;89.5;6;0;8;5
3;1020;51.63;7;9;0;3
1;1606;69.2;7;7;0;4
6;90;79.84;17;7;9;2
2;1005;14.75;1;4;2;0
3;724;45.29;20;9;3;0
6;104;92.56;7;7;5;2
6;944;70.47;9;2;10;1
3;1775;36.38;22;6;3;3
1;699;72.82;18;11;4;2
4;285;60.47;9;10;10;0
